Label, pos.X (µm), pos.Y (µm), pos.Z (µm), e1.X, e1.Y, e1.Z, e2.X, e2.Y, e2.Z, r1 (µm), r2 (µm), r3 (µm)
1582,-120.878,-44.2918,-49.3328,0.210862,0.549904,0.808173,-0.537585,-0.625273,0.565717,7.91021,7.49831,5.68307
1000,-120.863,53.9528,1.21414,0.0159136,0.096281,0.995227,0.0839384,-0.991968,0.0946235,10.8201,9.23288,6.94352
1881,-120.825,-8.4852,18.0303,0.991234,-0.0817368,0.103796,-0.0663893,0.371082,0.926224,8.72797,8.09993,4.02084
829,-120.818,-43.531,45.6078,-0.63446,0.108751,0.765267,-0.325084,-0.935777,-0.136536,8.80564,7.71292,7.4763
2761,-120.801,-20.6337,-77.0101,-0.0454077,0.106802,0.993243,-0.0338528,-0.993862,0.105321,10.6007,8.40343,8.11805
1829,-120.454,7.32932,-3.14434,0.793575,-0.064255,0.605071,-0.600508,0.0776627,0.795838,3.8928,3.27229,1.4562
926,-120.409,-2.92878,10.2116,0.666223,-0.297144,-0.683998,-0.726879,-0.0536986,-0.684663,7.57981,4.37407,2.38587
1409,-120.009,-11.7217,-55.7739,-0.00612356,-0.0738569,0.99725,-0.11828,-0.990214,-0.0740621,20.1728,11.5249,6.80162
207,-119.997,37.1563,68.7707,-0.00835236,0.634799,0.772632,-0.0657137,-0.771337,0.633025,20.1386,12.7996,5.65621
2844,-119.953,2.61301,-0.996595,0.984076,-0.0912258,-0.152552,0.155451,0.0255303,0.987514,7.10872,5.37315,2.36509
2283,-119.829,4.06911,-6.32991,0.968785,-0.242363,0.0521135,0.0232105,0.297973,0.954292,7.62764,3.96453,2.77881
2932,-119.646,-2.2703,18.3256,0.985284,-0.164572,0.0461604,-0.0710942,-0.148999,0.986278,9.01783,3.39466,2.37045
1107,-119.621,12.1458,16.2139,0.994206,-0.107427,-0.0037455,-0.0203305,-0.22214,0.974803,5.11769,3.53334,2.01125
2641,-119.507,-49.0287,-29.2879,0.0418913,0.99826,0.0414934,-0.465092,-0.0172723,0.885094,10.1159,8.63387,6.98248
2510,-119.486,14.7149,23.2665,0.0257811,0.52877,-0.848374,0.129863,0.839693,0.527305,10.4366,5.85204,4.81926
1240,-119.412,21.9873,-56.5136,-0.196222,0.0806604,0.977236,-0.749626,0.630113,-0.202529,3.46167,1.08687,1.02241
825,-119.126,-15.0041,-22.8705,0.0689313,0.0320817,-0.997105,0.0817038,0.995944,0.0376926,18.0794,11.9284,7.93935
345,-118.789,15.3679,8.67787,0.129761,-0.0298199,0.991097,-0.990386,0.0444118,0.131004,9.17053,4.66302,2.38432
1439,-118.705,-6.84742,75.2438,-0.0152463,-0.19588,0.980509,0.991572,0.123219,0.0400343,12.1251,9.15517,8.30729
2955,-118.68,4.38477,-13.8528,-0.103459,-0.974511,-0.199059,0.165747,-0.214226,0.962619,9.48937,7.95754,6.19045
2449,-118.509,-3.42456,-72.357,0.865751,0.195882,0.46055,0.474849,-0.0308048,-0.879528,3.63614,2.3196,1.44131
2334,-118.446,-55.3248,9.66805,0.989662,-0.138449,0.0374371,-0.100108,-0.853758,-0.510955,13.9981,8.10404,7.87692
3016,-118.186,12.8603,-0.39111,0.169937,-0.128942,-0.976983,0.866566,0.491623,0.085847,4.28411,2.25596,1.86231
3062,-118.137,42.37,44.0044,-0.00562647,0.335373,0.942069,-0.0469791,-0.941132,0.334759,19.9452,11.2843,7.23913
1400,-118.07,9.6153,-5.23112,0.975038,-0.164171,-0.149495,0.18295,0.212498,0.959882,5.3022,4.06029,2.46597
2645,-118.06,14.721,87.1046,0.910822,-0.0122047,0.41262,-0.411277,0.0589507,0.909602,9.91878,8.91098,7.61235
592,-117.566,-53.6534,-3.43951,-0.253745,-0.932606,-0.256632,0.12548,-0.294811,0.947281,9.95363,8.41575,7.659
1287,-117.427,29.1569,13.8775,-0.00966052,0.0565488,0.998353,-0.0849178,-0.994839,0.0555281,20.2578,8.85141,4.93824
2011,-117.192,-0.912205,-3.99767,0.985887,-0.0796281,0.147263,-0.147045,0.00863096,0.989092,8.25103,6.68777,2.212
